@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
45,5924,16,1480,995,0.59798,0.997306,0.800108,0.997306,0.199892,0.88789,0.879857,1.133486,0.125
46,5923,17,1475,1000,0.59596,0.997138,0.800622,0.997138,0.199378,0.888139,0.879144,1.134214,0.142217
47,5923,17,1473,1002,0.595152,0.997138,0.800838,0.997138,0.199162,0.888272,0.878907,1.134521,0.142228
48,5922,18,1471,1004,0.594343,0.99697,0.801028,0.99697,0.198972,0.888322,0.87855,1.13479,0.142257
49,5922,18,1469,1006,0.593535,0.99697,0.801245,0.99697,0.198755,0.888455,0.878313,1.135097,0.147496
50,5921,19,1466,1009,0.592323,0.996801,0.801543,0.996801,0.198457,0.888572,0.877837,1.13552,0.165926
51,5921,19,1465,1010,0.591919,0.996801,0.801652,0.996801,0.198348,0.888639,0.877718,1.135673,0.165966
52,5921,19,1464,1011,0.591515,0.996801,0.80176,0.996801,0.19824,0.888705,0.8776,1.135827,0.166667
53,5918,22,1455,1020,0.587879,0.996296,0.802658,0.996296,0.197342,0.889056,0.876173,1.137099,0.171683
54,5918,22,1453,1022,0.587071,0.996296,0.802876,0.996296,0.197124,0.889189,0.875936,1.137408,0.171695
55,5918,22,1451,1024,0.586263,0.996296,0.803094,0.996296,0.196906,0.889323,0.875698,1.137717,0.17314
56,5917,23,1444,1031,0.583434,0.996128,0.803831,0.996128,0.196169,0.889708,0.874747,1.138761,0.177771
57,5917,23,1441,1034,0.582222,0.996128,0.804159,0.996128,0.195841,0.889908,0.874391,1.139225,0.177808
58,5917,23,1438,1037,0.58101,0.996128,0.804487,0.996128,0.195513,0.890109,0.874034,1.13969,0.181287
59,5904,36,1421,1054,0.574141,0.993939,0.806007,0.993939,0.193993,0.890162,0.870469,1.141843,0.186047
60,5902,38,1418,1057,0.572929,0.993603,0.806284,0.993603,0.193716,0.890196,0.869875,1.142236,0.195489
61,5897,43,1409,1066,0.569293,0.992761,0.807145,0.992761,0.192855,0.890382,0.868212,1.143455,0.2
62,5896,44,1407,1068,0.568485,0.992593,0.807339,0.992593,0.192661,0.890433,0.867855,1.143731,0.20438
63,5893,47,1400,1075,0.565657,0.992088,0.808035,0.992088,0.191965,0.890652,0.866667,1.144716,0.204545
64,5892,48,1397,1078,0.564444,0.991919,0.808341,0.991919,0.191659,0.89077,0.866191,1.14515,0.205128
65,5890,50,1390,1085,0.561616,0.991582,0.809066,0.991582,0.190934,0.891074,0.865122,1.146177,0.205882
66,5887,53,1382,1093,0.558384,0.991077,0.809878,0.991077,0.190122,0.891362,0.863815,1.147327,0.20765
67,5881,59,1370,1105,0.553535,0.990067,0.811061,0.990067,0.188939,0.891669,0.861676,1.149002,0.207692
68,5877,63,1357,1118,0.548283,0.989394,0.812414,0.989394,0.187586,0.892212,0.859655,1.150919,0.207865
69,5870,70,1341,1134,0.541818,0.988215,0.814034,0.988215,0.185966,0.892708,0.856922,1.153215,0.208955
70,5864,76,1321,1154,0.533737,0.987205,0.816145,0.987205,0.183855,0.893562,0.853832,1.156205,0.209302
71,5860,80,1307,1168,0.528081,0.986532,0.817636,0.986532,0.182364,0.894179,0.851693,1.158318,0.21374
72,5857,83,1294,1181,0.522828,0.986027,0.819046,0.986027,0.180954,0.894813,0.849792,1.160316,0.214689
73,5851,89,1276,1199,0.515556,0.985017,0.820963,0.985017,0.179037,0.895538,0.84694,1.16303,0.217391
74,5851,89,1272,1203,0.513939,0.985017,0.821424,0.985017,0.178576,0.895813,0.846465,1.163683,0.218579
75,5847,93,1258,1217,0.508283,0.984343,0.822942,0.984343,0.177058,0.896435,0.844326,1.165834,0.219512
76,5846,94,1252,1223,0.505859,0.984175,0.823612,0.984175,0.176388,0.896763,0.843494,1.166784,0.224599
77,5844,96,1240,1235,0.50101,0.983838,0.824958,0.983838,0.175042,0.89742,0.84183,1.16869,0.226519
78,5841,99,1223,1252,0.494141,0.983333,0.826869,0.983333,0.173131,0.898339,0.839453,1.171397,0.226563
79,5839,101,1206,1269,0.487273,0.982997,0.828815,0.982997,0.171185,0.899345,0.837195,1.174154,0.227273
80,5839,101,1202,1273,0.485657,0.982997,0.829286,0.982997,0.170714,0.899623,0.83672,1.174821,0.228723
81,5838,102,1190,1285,0.480808,0.982828,0.830677,0.982828,0.169323,0.90037,0.835175,1.176793,0.229008
82,5837,103,1175,1300,0.474747,0.98266,0.83243,0.98266,0.16757,0.901328,0.833274,1.179276,0.233696
83,5836,104,1159,1316,0.468283,0.982492,0.83431,0.982492,0.16569,0.902358,0.831254,1.181939,0.234415
84,5835,105,1159,1316,0.468283,0.982323,0.834287,0.982323,0.165713,0.902273,0.831135,1.181906,0.238095
85,5835,105,1153,1322,0.465859,0.982323,0.835003,0.982323,0.164997,0.902692,0.830422,1.182921,0.242938
86,5834,106,1130,1345,0.456566,0.982155,0.837737,0.982155,0.162263,0.904216,0.82757,1.186794,0.262465
87,5833,107,1129,1346,0.456162,0.981987,0.837834,0.981987,0.162166,0.904201,0.827332,1.186931,0.262576
88,5832,108,1128,1347,0.455758,0.981818,0.837931,0.981818,0.162069,0.904186,0.827094,1.187069,0.5
89,5830,110,1127,1348,0.455354,0.981481,0.838005,0.981481,0.161995,0.904086,0.826738,1.187174,0.507444
90,5829,111,1127,1348,0.455354,0.981313,0.837982,0.981313,0.162018,0.904001,0.826619,1.187141,0.508015
91,5828,112,1127,1348,0.455354,0.981145,0.837958,0.981145,0.162042,0.903916,0.8265,1.187108,0.508015
92,5827,113,1127,1348,0.455354,0.980976,0.837935,0.980976,0.162065,0.903831,0.826381,1.187075,0.555556
93,5823,117,1127,1348,0.455354,0.980303,0.837842,0.980303,0.162158,0.903491,0.825906,1.186942,0.564444
94,5819,121,1123,1352,0.453737,0.97963,0.838231,0.97963,0.161769,0.903431,0.824955,1.187494,0.572687
95,5810,130,1121,1354,0.452929,0.978114,0.838263,0.978114,0.161737,0.902805,0.823648,1.187539,0.575324
96,5789,151,1115,1360,0.450505,0.974579,0.838499,0.974579,0.161501,0.901433,0.82044,1.187874,0.576339
97,5772,168,1109,1366,0.448081,0.971717,0.838832,0.971717,0.161168,0.900398,0.817706,1.188345,0.576765
98,5762,178,1102,1373,0.445253,0.970034,0.839452,0.970034,0.160548,0.900031,0.815686,1.189224,0.576923
99,5759,181,1100,1375,0.444444,0.969529,0.839627,0.969529,0.160373,0.899914,0.815092,1.189471,0.579067
100,5729,211,1080,1395,0.436364,0.964478,0.841386,0.964478,0.158614,0.898737,0.80915,1.191964,0.579832
101,5729,211,1079,1396,0.43596,0.964478,0.84151,0.964478,0.15849,0.898808,0.809031,1.192139,0.58178
102,5695,245,1054,1421,0.425859,0.958754,0.843829,0.958754,0.156171,0.897628,0.80202,1.195424,0.581818
103,5695,245,1053,1422,0.425455,0.958754,0.843954,0.958754,0.156046,0.897699,0.801901,1.195601,0.581818
104,5691,249,1052,1423,0.425051,0.958081,0.843986,0.958081,0.156014,0.897422,0.801307,1.195647,0.583409
105,5665,275,1031,1444,0.416566,0.953704,0.846027,0.953704,0.153973,0.896645,0.795722,1.198539,0.584636
106,5636,304,1007,1468,0.406869,0.948822,0.848412,0.948822,0.151588,0.895812,0.789424,1.201917,0.585011
107,5606,334,982,1493,0.396768,0.943771,0.850941,0.943771,0.149059,0.894955,0.782888,1.2055,0.586738
108,5582,358,960,1515,0.387879,0.939731,0.853256,0.939731,0.146744,0.894408,0.777421,1.208779,0.588346
109,5559,381,938,1537,0.37899,0.935859,0.855626,0.935859,0.144374,0.893945,0.772074,1.212136,0.591111
110,5556,384,937,1538,0.378586,0.935354,0.855691,0.935354,0.144309,0.893751,0.771598,1.212229,0.59322
111,5554,386,937,1538,0.378586,0.935017,0.855646,0.935017,0.144354,0.893573,0.771361,1.212166,0.6
112,5550,390,937,1538,0.378586,0.934343,0.855557,0.934343,0.144443,0.893216,0.770885,1.212039,0.600897
113,5549,391,935,1540,0.377778,0.934175,0.855799,0.934175,0.144201,0.893271,0.770529,1.212382,0.625
114,5545,395,933,1542,0.37697,0.933502,0.855974,0.933502,0.144026,0.893058,0.769816,1.21263,0.644269
115,5545,395,932,1543,0.376566,0.933502,0.856106,0.933502,0.143894,0.89313,0.769697,1.212817,0.646415
116,5544,396,932,1543,0.376566,0.933333,0.856084,0.933333,0.143916,0.893041,0.769578,1.212786,0.663704
117,5541,399,932,1543,0.376566,0.932828,0.856017,0.932828,0.143983,0.892774,0.769222,1.212691,0.666667
118,5533,407,930,1545,0.375758,0.931481,0.856104,0.931481,0.143896,0.892203,0.768033,1.212814,0.7
119,5533,407,926,1549,0.374141,0.931481,0.856634,0.931481,0.143366,0.892491,0.767558,1.213565,0.705836
120,5521,419,919,1556,0.371313,0.929461,0.857298,0.929461,0.142702,0.891922,0.7653,1.214506,0.705929
121,5503,437,908,1567,0.366869,0.926431,0.858368,0.926431,0.141632,0.891102,0.761854,1.216022,0.730104
122,5452,488,896,1579,0.36202,0.917845,0.858853,0.917845,0.141147,0.88737,0.754367,1.216709,0.733333
123,5447,493,896,1579,0.36202,0.917003,0.858742,0.917003,0.141258,0.886917,0.753773,1.216551,0.736207
124,5401,539,881,1594,0.35596,0.909259,0.859758,0.909259,0.140242,0.883816,0.746524,1.217991,0.736475
125,5350,590,864,1611,0.349091,0.900673,0.860959,0.900673,0.139041,0.880369,0.738443,1.219692,0.736568
126,5302,638,848,1627,0.342626,0.892593,0.862114,0.892593,0.137886,0.877089,0.730838,1.221328,0.736842
127,5249,691,830,1645,0.335354,0.88367,0.863464,0.88367,0.136536,0.87345,0.7224,1.223241,0.737024
128,5202,738,814,1661,0.328889,0.875758,0.864694,0.875758,0.135306,0.870191,0.714914,1.224983,0.73822
129,5152,788,796,1679,0.321616,0.86734,0.866174,0.86734,0.133826,0.866756,0.706833,1.227079,0.738983
130,5115,825,782,1693,0.31596,0.861111,0.86739,0.861111,0.13261,0.864239,0.700772,1.228803,0.742557
131,5066,874,761,1714,0.307475,0.852862,0.869401,0.852862,0.130599,0.861052,0.692454,1.231652,0.746114
132,5025,915,740,1735,0.29899,0.84596,0.871639,0.84596,0.128361,0.858607,0.685086,1.234822,0.75
133,5021,919,740,1735,0.29899,0.845286,0.87155,0.845286,0.12845,0.858217,0.684611,1.234696,0.751106
134,4947,993,724,1751,0.292525,0.832828,0.872333,0.832828,0.127667,0.852123,0.673916,1.235805,0.753639
135,4867,1073,703,1772,0.28404,0.81936,0.873788,0.81936,0.126212,0.845699,0.661913,1.237867,0.754209
136,4786,1154,681,1794,0.275152,0.805724,0.875434,0.805724,0.124566,0.839134,0.649673,1.240199,0.755102
137,4699,1241,656,1819,0.265051,0.791077,0.877498,0.791077,0.122502,0.83205,0.636364,1.243122,0.756125
138,4625,1315,634,1841,0.256162,0.77862,0.879445,0.77862,0.120555,0.825967,0.624955,1.24588,0.756968
139,4551,1389,611,1864,0.246869,0.766162,0.881635,0.766162,0.118365,0.819852,0.613428,1.248983,0.760943
140,4476,1464,583,1892,0.235556,0.753535,0.88476,0.753535,0.11524,0.813892,0.601188,1.25341,0.761326
141,4412,1528,558,1917,0.225455,0.742761,0.887726,0.742761,0.112274,0.808799,0.590612,1.257612,0.761582
142,4333,1607,528,1947,0.213333,0.729461,0.89138,0.729461,0.10862,0.802333,0.577659,1.262789,0.763893
143,4329,1611,528,1947,0.213333,0.728788,0.891291,0.728788,0.108709,0.801889,0.577184,1.262662,0.764444
144,4264,1676,499,1976,0.201616,0.717845,0.895234,0.717845,0.104766,0.796786,0.566013,1.268248,0.767456
145,4262,1678,499,1976,0.201616,0.717508,0.89519,0.717508,0.10481,0.796561,0.565775,1.268186,0.769342
146,4262,1678,498,1977,0.201212,0.717508,0.895378,0.717508,0.104622,0.796636,0.565657,1.268452,0.769809
147,4259,1681,498,1977,0.201212,0.717003,0.895312,0.717003,0.104688,0.796298,0.5653,1.268359,0.769961
148,4256,1684,498,1977,0.201212,0.716498,0.895246,0.716498,0.104754,0.79596,0.564944,1.268265,0.771541
149,4254,1686,498,1977,0.201212,0.716162,0.895202,0.716162,0.104798,0.795735,0.564706,1.268203,0.771905
150,4253,1687,498,1977,0.201212,0.715993,0.89518,0.715993,0.10482,0.795622,0.564587,1.268172,0.772133
151,4249,1691,497,1978,0.200808,0.71532,0.89528,0.71532,0.10472,0.795246,0.563993,1.268314,0.772716
152,4247,1693,496,1979,0.200404,0.714983,0.895425,0.714983,0.104575,0.795095,0.563636,1.268519,0.773421
153,4245,1695,495,1980,0.2,0.714646,0.89557,0.714646,0.10443,0.794944,0.56328,1.268724,0.775651
154,4244,1696,494,1981,0.199596,0.714478,0.895737,0.714478,0.104263,0.794905,0.563042,1.26896,0.777778
155,4240,1700,494,1981,0.199596,0.713805,0.895649,0.713805,0.104351,0.794454,0.562567,1.268835,0.7821
156,4239,1701,494,1981,0.199596,0.713636,0.895626,0.713636,0.104374,0.794341,0.562448,1.268804,0.784523
157,4234,1706,494,1981,0.199596,0.712795,0.895516,0.712795,0.104484,0.793776,0.561854,1.268648,0.786034
158,4228,1712,494,1981,0.199596,0.711785,0.895383,0.711785,0.104617,0.793097,0.561141,1.26846,0.786496
159,4221,1719,494,1981,0.199596,0.710606,0.895228,0.710606,0.104772,0.792304,0.560309,1.26824,0.78759
160,4216,1724,494,1981,0.199596,0.709764,0.895117,0.709764,0.104883,0.791737,0.559715,1.268082,0.788267
161,4211,1729,494,1981,0.199596,0.708923,0.895005,0.708923,0.104995,0.79117,0.559121,1.267924,0.788456
162,4207,1733,494,1981,0.199596,0.708249,0.894916,0.708249,0.105084,0.790715,0.558645,1.267798,0.788915
163,4206,1734,494,1981,0.199596,0.708081,0.894894,0.708081,0.105106,0.790602,0.558526,1.267766,0.789474
164,4205,1735,494,1981,0.199596,0.707912,0.894871,0.707912,0.105129,0.790488,0.558408,1.267734,0.791223
165,4202,1738,494,1981,0.199596,0.707407,0.894804,0.707407,0.105196,0.790147,0.558051,1.267639,0.792699
166,4201,1739,494,1981,0.199596,0.707239,0.894782,0.707239,0.105218,0.790033,0.557932,1.267607,0.796476
167,4200,1740,494,1981,0.199596,0.707071,0.894759,0.707071,0.105241,0.789919,0.557813,1.267576,0.8
168,4197,1743,494,1981,0.199596,0.706566,0.894692,0.706566,0.105308,0.789578,0.557457,1.26748,0.807692
169,4196,1744,494,1981,0.199596,0.706397,0.89467,0.706397,0.10533,0.789464,0.557338,1.267448,0.809524
170,4190,1750,494,1981,0.199596,0.705387,0.894535,0.705387,0.105465,0.78878,0.556625,1.267257,0.814781
171,4189,1751,494,1981,0.199596,0.705219,0.894512,0.705219,0.105488,0.788666,0.556506,1.267225,0.818182
172,4187,1753,494,1981,0.199596,0.704882,0.894467,0.704882,0.105533,0.788438,0.556269,1.267162,0.820714
173,4186,1754,494,1981,0.199596,0.704714,0.894444,0.704714,0.105556,0.788324,0.55615,1.26713,0.823529
174,4182,1758,492,1983,0.198788,0.70404,0.894737,0.70404,0.105263,0.788016,0.555437,1.267544,0.826087
175,4174,1766,492,1983,0.198788,0.702694,0.894556,0.702694,0.105444,0.787102,0.554486,1.267288,0.833333
176,4164,1776,490,1985,0.19798,0.70101,0.894714,0.70101,0.105286,0.786105,0.55306,1.267512,0.835031
177,4163,1777,490,1985,0.19798,0.700842,0.894692,0.700842,0.105308,0.785991,0.552941,1.26748,0.838556
178,4161,1779,490,1985,0.19798,0.700505,0.894646,0.700505,0.105354,0.785761,0.552704,1.267416,0.84
179,4157,1783,490,1985,0.19798,0.699832,0.894556,0.699832,0.105444,0.785303,0.552228,1.267287,0.840923
180,3939,2001,455,2020,0.183838,0.663131,0.89645,0.663131,0.10355,0.762338,0.522163,1.26997,0.84119
181,3718,2222,418,2057,0.168889,0.625926,0.898936,0.625926,0.101064,0.737991,0.491503,1.273493,0.841667
182,3717,2223,418,2057,0.168889,0.625758,0.898912,0.625758,0.101088,0.737866,0.491384,1.273458,0.842105
183,3714,2226,418,2057,0.168889,0.625253,0.898838,0.625253,0.101162,0.73749,0.491028,1.273354,0.842378
184,3500,2440,379,2096,0.153131,0.589226,0.902294,0.589226,0.097706,0.712904,0.460963,1.27825,0.8424
185,3260,2680,336,2139,0.135758,0.548822,0.906563,0.548822,0.093437,0.683725,0.427332,1.284297,0.843231
186,3043,2897,294,2181,0.118788,0.51229,0.911897,0.51229,0.088103,0.656031,0.396554,1.291854,0.84355
