@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
52,5938,2,2022,453,0.81697,0.999663,0.74598,0.999663,0.25402,0.854388,0.94593,1.056805,0.000345
53,5938,2,2021,454,0.816566,0.999663,0.746074,0.999663,0.253926,0.85445,0.945811,1.056938,0.000346
54,5938,2,2020,455,0.816162,0.999663,0.746167,0.999663,0.253833,0.854511,0.945692,1.05707,0.000368
55,5938,2,2019,456,0.815758,0.999663,0.746261,0.999663,0.253739,0.854573,0.945573,1.057203,0.0004
56,5938,2,2017,458,0.814949,0.999663,0.746449,0.999663,0.253551,0.854696,0.945336,1.057469,0.000442
57,5938,2,2016,459,0.814545,0.999663,0.746543,0.999663,0.253457,0.854757,0.945217,1.057602,0.00045
58,5938,2,2014,461,0.813737,0.999663,0.74673,0.999663,0.25327,0.854881,0.944979,1.057868,0.000456
59,5938,2,2013,462,0.813333,0.999663,0.746824,0.999663,0.253176,0.854942,0.94486,1.058001,0.00047
60,5938,2,2012,463,0.812929,0.999663,0.746918,0.999663,0.253082,0.855004,0.944742,1.058134,0.000471
61,5938,2,2011,464,0.812525,0.999663,0.747012,0.999663,0.252988,0.855065,0.944623,1.058267,0.000494
62,5938,2,2010,465,0.812121,0.999663,0.747106,0.999663,0.252894,0.855127,0.944504,1.0584,0.000527
63,5938,2,2008,467,0.811313,0.999663,0.747294,0.999663,0.252706,0.85525,0.944266,1.058667,0.000574
64,5938,2,2007,468,0.810909,0.999663,0.747388,0.999663,0.252612,0.855311,0.944147,1.0588,0.000605
65,5938,2,2006,469,0.810505,0.999663,0.747482,0.999663,0.252518,0.855373,0.944029,1.058933,0.000665
66,5938,2,2005,470,0.810101,0.999663,0.747576,0.999663,0.252424,0.855435,0.94391,1.059067,0.000681
67,5938,2,2004,471,0.809697,0.999663,0.747671,0.999663,0.252329,0.855496,0.943791,1.0592,0.000692
68,5938,2,2003,472,0.809293,0.999663,0.747765,0.999663,0.252235,0.855558,0.943672,1.059333,0.000692
69,5938,2,2002,473,0.808889,0.999663,0.747859,0.999663,0.252141,0.85562,0.943553,1.059467,0.000765
70,5938,2,2001,474,0.808485,0.999663,0.747953,0.999663,0.252047,0.855681,0.943434,1.0596,0.000847
71,5938,2,2000,475,0.808081,0.999663,0.748047,0.999663,0.251953,0.855743,0.943316,1.059734,0.000897
72,5938,2,1999,476,0.807677,0.999663,0.748142,0.999663,0.251858,0.855805,0.943197,1.059867,0.000961
73,5938,2,1998,477,0.807273,0.999663,0.748236,0.999663,0.251764,0.855866,0.943078,1.060001,0.00125
74,5938,2,1997,478,0.806869,0.999663,0.74833,0.999663,0.25167,0.855928,0.942959,1.060134,0.001411
75,5938,2,1996,479,0.806465,0.999663,0.748425,0.999663,0.251575,0.85599,0.94284,1.060268,0.001667
76,5938,2,1993,482,0.805253,0.999663,0.748708,0.999663,0.251292,0.856175,0.942484,1.060669,0.002094
77,5938,2,1992,483,0.804848,0.999663,0.748802,0.999663,0.251198,0.856236,0.942365,1.060803,0.002222
78,5938,2,1991,484,0.804444,0.999663,0.748896,0.999663,0.251104,0.856298,0.942246,1.060937,0.002609
