@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
44,1753,19,4578,2065,0.689146,0.989278,0.276891,0.989278,0.723109,0.432679,0.752347,1.314922,0.0125
45,1753,19,4573,2070,0.688394,0.989278,0.27711,0.989278,0.72289,0.432946,0.751753,1.315961,0.0125
46,1753,19,4572,2071,0.688243,0.989278,0.277154,0.989278,0.722846,0.433,0.751634,1.316169,0.013333
47,1753,19,4571,2072,0.688093,0.989278,0.277198,0.989278,0.722802,0.433053,0.751515,1.316378,0.013699
48,1753,19,4570,2073,0.687942,0.989278,0.277242,0.989278,0.722758,0.433107,0.751396,1.316586,0.013699
49,1752,20,4569,2074,0.687792,0.988713,0.277171,0.988713,0.722829,0.432967,0.751159,1.316251,0.019772
50,1751,21,4558,2085,0.686136,0.988149,0.27754,0.988149,0.72246,0.433362,0.749733,1.318002,0.019773
51,1750,22,4547,2096,0.68448,0.987585,0.27791,0.987585,0.72209,0.433759,0.748307,1.319759,0.01997
52,1749,23,4535,2108,0.682673,0.98702,0.278326,0.98702,0.721674,0.434211,0.746762,1.321734,0.025641
53,1749,23,4534,2109,0.682523,0.98702,0.27837,0.98702,0.72163,0.434264,0.746643,1.321944,0.026316
54,1749,23,4530,2113,0.681921,0.98702,0.278548,0.98702,0.721452,0.43448,0.746168,1.322786,0.027027
55,1749,23,4524,2119,0.681018,0.98702,0.278814,0.98702,0.721186,0.434804,0.745455,1.324052,0.027778
56,1749,23,4516,2127,0.679813,0.98702,0.27917,0.98702,0.72083,0.435237,0.744504,1.325742,0.02853
57,1749,23,4508,2135,0.678609,0.98702,0.279527,0.98702,0.720473,0.435671,0.743553,1.327437,0.028531
58,1749,23,4500,2143,0.677405,0.98702,0.279885,0.98702,0.720115,0.436105,0.742602,1.329137,0.028531
59,1749,23,4492,2151,0.676201,0.98702,0.280244,0.98702,0.719756,0.436541,0.741652,1.330841,0.029368
60,1749,23,4481,2162,0.674545,0.98702,0.280738,0.98702,0.719262,0.437141,0.740345,1.33319,0.029412
61,1749,23,4475,2168,0.673641,0.98702,0.281009,0.98702,0.718991,0.437469,0.739632,1.334476,0.029703
62,1749,23,4463,2180,0.671835,0.98702,0.281552,0.98702,0.718448,0.438126,0.738206,1.337053,0.030257
63,1749,23,4449,2194,0.669728,0.98702,0.282188,0.98702,0.717812,0.438896,0.736542,1.340074,0.030303
64,1749,23,4441,2202,0.668523,0.98702,0.282553,0.98702,0.717447,0.439337,0.735591,1.341805,0.030566
65,1749,23,4426,2217,0.666265,0.98702,0.283239,0.98702,0.716761,0.440166,0.733809,1.345065,0.03125
66,1749,23,4424,2219,0.665964,0.98702,0.283331,0.98702,0.716669,0.440277,0.733571,1.345501,0.032258
67,1749,23,4409,2234,0.663706,0.98702,0.284021,0.98702,0.715979,0.44111,0.731788,1.348778,0.033333
68,1749,23,4401,2242,0.662502,0.98702,0.28439,0.98702,0.71561,0.441555,0.730838,1.350533,0.037736
69,1749,23,4395,2248,0.661599,0.98702,0.284668,0.98702,0.715332,0.44189,0.730125,1.351852,0.038462
70,1749,23,4387,2256,0.660394,0.98702,0.285039,0.98702,0.714961,0.442337,0.729174,1.353614,0.039216
71,1749,23,4382,2261,0.659642,0.98702,0.285272,0.98702,0.714728,0.442617,0.72858,1.354718,0.04
