Refactoring_id,Commit,Type
82,07292f0e8bc2f2bfd5ca19678c056068324782f2,"Rename Attribute"
83,07292f0e8bc2f2bfd5ca19678c056068324782f2,"Rename Method"
84,07292f0e8bc2f2bfd5ca19678c056068324782f2,"Rename Parameter"
85,07292f0e8bc2f2bfd5ca19678c056068324782f2,"Rename Variable"
86,0733a49e068389bc801fd9f59217d9d8025b09ad,"Change Return Type"
87,0733a49e068389bc801fd9f59217d9d8025b09ad,"Rename Variable"
88,077f46190e6bae820dc1e08ddc3ca5ed1c531cae,"Rename Attribute"
89,077f46190e6bae820dc1e08ddc3ca5ed1c531cae,"Rename Parameter"
90,077f46190e6bae820dc1e08ddc3ca5ed1c531cae,"Rename Variable"
91,07bf7c7d8888625a9fb07557fb38fb60e3a92dd4,"Change Attribute Type"
92,07bf7c7d8888625a9fb07557fb38fb60e3a92dd4,"Change Parameter Type"
93,07bf7c7d8888625a9fb07557fb38fb60e3a92dd4,"Rename Class"
94,07bf7c7d8888625a9fb07557fb38fb60e3a92dd4,"Rename Variable"
95,08bd834cd34186febea262bb9759fb4874f7f740,"Change Parameter Type"
96,08bd834cd34186febea262bb9759fb4874f7f740,"Change Return Type"
97,08bd834cd34186febea262bb9759fb4874f7f740,"Rename Parameter"
98,08f45c47d1f2e8f168ab1488caa4bf4831832b74,"Change Attribute Type"
99,08f45c47d1f2e8f168ab1488caa4bf4831832b74,"Rename Attribute"
100,092e258d4a324d33a2121a819446e14573ddcbaa,"Rename Parameter"
101,09c6bc3e01774dbfcc2ad1f63c943f9782c1fdb4,"Change Attribute Type"
102,09c6bc3e01774dbfcc2ad1f63c943f9782c1fdb4,"Change Parameter Type"
103,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Change Attribute Type"
104,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Change Parameter Type"
105,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Change Return Type"
106,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Change Variable Type"
107,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Move Class"
108,0a0d92baab6d414d52e47451b5fa823cdb27b7f1,"Rename Method"
