RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Pull Up Method,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/SizeValidatorForMap.java,medium
Move Method,engine,src,main,java,org,hibernate/validator/internal/util/ReflectionHelper.java,low
Rename Class,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java,extremely high
Extract Variable,annotation-processor,src,main,java,org,hibernate/validator/ap/util/ConstraintHelper.java,low
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Move Class,engine,src,test,java,org,hibernate/validator/referenceguide/chapter11/constraintdefinition/Car.java,medium
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/core/ConstraintHelper.java,medium
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/impl/ValidatorFactoryBuilderImpl.java,high
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/metadata/Person.java,extremely high
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/util/ReflectionHelperTest.java,extremely high
Move Class,documentation,src,test,java,org,hibernate/validator/referenceguide/chapter10/cdi/methodvalidation/Customer.java,extremely high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/ComposingConstraintTree.java,high
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validation/util/ReflectionHelper.java,extremely high
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/internal/metadata/provider/AnnotationMetaDataProviderTest.java,medium
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/metadata/descriptor/ConstraintDescriptorImpl.java,high
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/pl/NIPValidatorTest.java,high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Rename Method,engine,src,main,java,org,hibernate/validator/internal/util/ModUtil.java,medium
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java,high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/core/AnnotationProcessingOptionsImpl.java,high
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/xml/mixedconfiguration/annotation/GameDetail.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Extract Variable,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConstraintTree.java,high
Extract Method,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/TituloEleitorValidatorTest.java,low
Rename Method,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java,high
Rename Class,hibernate-validator,impl,src,java,java,org/hibernate/tck/report/CoverageProcessor.java,low
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Extract Method,annotation-processor,src,main,java,org,hibernate/validator/ap/classchecks/AbstractMethodOverrideCheck.java,high
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConfigurationImpl.java,high
Push Down Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/BeanMetaDataManager.java,extremely high
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validation/engine/BeanMetaDataImpl.java,high
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/internal/metadata/provider/AnnotationMetaDataProviderTest.java,medium
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Extract Method,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/ValidationContext.java,high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Rename Method,engine,src,main,java,org,hibernate/validator/internal/cfg/context/TypeConstraintMappingContextImpl.java,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Move Method,engine,src,main,java,org,hibernate/validator/internal/engine/valueextraction/ValueExtractorManager.java,high
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/parser/ELState.java,extremely high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/engine/cascaded/CustomValueExtractorTest.java,extremely high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Move Method,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Class,hibernate-validator,src,main,java,org,hibernate/validation/constraints/LengthConstraint.java,high
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Extract Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/ModCheckValidator.java,low
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ValidationContext.java,high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/BeanMetaDataImpl.java,high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/metadata/raw/ExecutableElementTest.java,extremely high
Move Class,hibernate-validator,src,main,java,org,hibernate/validator/metadata/BeanMetaDataManager.java,extremely high
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/metadata/raw/ExecutableElementTest.java,extremely high
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Method,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/HibernateConstraintValidatorInitializationContextImpl.java,low
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/ComposingConstraintTree.java,high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/ConstraintValidatorManager.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Push Down Method,engine,src,main,java,org,hibernate/validator/internal/cfg/context/PropertyConstraintMappingContextImpl.java,high
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/impl/HibernateValidationProvider.java,high
Rename Class,hibernate-validator,impl,src,java,java,org/hibernate/tck/report/CoverageProcessor.java,low
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Push Down Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/CascadingMetaData.java,extremely high
Rename Method,engine,src,main,java,org,hibernate/validator/internal/cfg/context/DefaultConstraintMapping.java,medium
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Attribute,hibernate-validator,src,main,java,org,hibernate/validator/metadata/AbstractConstraintMetaData.java,extremely high
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java,high
Pull Up Method,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ConfigurationImpl.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Extract Method,annotation-processor,src,main,java,org,hibernate/validator/ap/classchecks/AbstractMethodOverrideCheck.java,high
Inline Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/core/ConstraintHelper.java,high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/metadata/descriptor/ConstraintDescriptorImpl.java,high
Extract Method,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/parser/BeginState.java,extremely high
