@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,5940,0,2411,64,0.974141,1,0.711292,1,0.288708,0.831292,0.992395,1.007664,0.000001
63,5940,0,2410,65,0.973737,1,0.711377,1,0.288623,0.831351,0.992276,1.007784,0.000001
64,5940,0,2409,66,0.973333,1,0.711462,1,0.288538,0.831409,0.992157,1.007905,0.000001
65,5940,0,2408,67,0.972929,1,0.711548,1,0.288452,0.831467,0.992038,1.008026,0.000001
66,5940,0,2407,68,0.972525,1,0.711633,1,0.288367,0.831525,0.991919,1.008147,0.000001
67,5940,0,2406,69,0.972121,1,0.711718,1,0.288282,0.831583,0.9918,1.008267,0.000001
68,5940,0,2405,70,0.971717,1,0.711803,1,0.288197,0.831642,0.991682,1.008388,0.000001
69,5940,0,2404,71,0.971313,1,0.711889,1,0.288111,0.8317,0.991563,1.008509,0.000001
70,5940,0,2403,72,0.970909,1,0.711974,1,0.288026,0.831758,0.991444,1.00863,0.000001
71,5940,0,2401,74,0.970101,1,0.712145,1,0.287855,0.831875,0.991206,1.008872,0.000001
72,5940,0,2399,76,0.969293,1,0.712316,1,0.287684,0.831991,0.990969,1.009114,0.000001
73,5940,0,2398,77,0.968889,1,0.712401,1,0.287599,0.832049,0.99085,1.009235,0.000001
74,5940,0,2397,78,0.968485,1,0.712487,1,0.287513,0.832108,0.990731,1.009356,0.000001
75,5940,0,2395,80,0.967677,1,0.712657,1,0.287343,0.832224,0.990493,1.009598,0.000001
76,5940,0,2394,81,0.967273,1,0.712743,1,0.287257,0.832282,0.990374,1.009719,0.000001
77,5940,0,2393,82,0.966869,1,0.712829,1,0.287171,0.832341,0.990255,1.00984,0.000002
78,5940,0,2392,83,0.966465,1,0.712914,1,0.287086,0.832399,0.990137,1.009962,0.000002
