@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
102,236,79,2024,6076,0.249877,0.749206,0.104425,0.749206,0.895575,0.183301,0.268568,2.789633,0.058544
103,231,84,1976,6124,0.243951,0.733333,0.104667,0.733333,0.895333,0.183188,0.26227,2.796103,0.058787
104,226,89,1926,6174,0.237778,0.71746,0.105019,0.71746,0.894981,0.183218,0.255734,2.805497,0.059887
105,220,95,1823,6277,0.225062,0.698413,0.107685,0.698413,0.892315,0.186599,0.242781,2.876722,0.06
106,215,100,1734,6366,0.214074,0.68254,0.110313,0.68254,0.889687,0.189929,0.23161,2.946932,0.060201
107,210,105,1642,6458,0.202716,0.666667,0.113391,0.666667,0.886609,0.193816,0.220083,3.029158,0.060606
108,205,110,1544,6556,0.190617,0.650794,0.11721,0.650794,0.88279,0.198643,0.207843,3.131177,0.060773
109,201,114,1459,6641,0.180123,0.638095,0.121084,0.638095,0.878916,0.203544,0.197267,3.234682,0.060841
110,197,118,1373,6727,0.169506,0.625397,0.125478,0.625397,0.874522,0.209019,0.186572,3.352047,0.060966
111,196,119,1351,6749,0.16679,0.622222,0.126697,0.622222,0.873303,0.210526,0.183838,3.384615,0.061224
112,191,124,1244,6856,0.15358,0.606349,0.133101,0.606349,0.866899,0.218286,0.170529,3.555699,0.061582
113,188,127,1202,6898,0.148395,0.596825,0.135252,0.596825,0.864748,0.220528,0.165181,3.613155,0.062069
114,180,135,1149,6951,0.141852,0.571429,0.13544,0.571429,0.86456,0.218978,0.157932,3.618188,0.062078
115,179,136,1133,6967,0.139877,0.568254,0.136433,0.568254,0.863567,0.220037,0.155912,3.644708,0.062176
116,171,144,1079,7021,0.13321,0.542857,0.1368,0.542857,0.8632,0.21853,0.148544,3.654514,0.063842
117,169,146,1035,7065,0.127778,0.536508,0.140365,0.536508,0.859635,0.222515,0.143078,3.749763,0.064388
118,167,148,987,7113,0.121852,0.530159,0.144714,0.530159,0.855286,0.227366,0.137136,3.865932,0.064516
119,167,148,986,7114,0.121728,0.530159,0.14484,0.530159,0.85516,0.22752,0.137017,3.869285,0.065451
120,166,149,985,7115,0.121605,0.526984,0.144222,0.526984,0.855778,0.226467,0.13678,3.852799,0.065594
121,164,151,928,7172,0.114568,0.520635,0.150183,0.520635,0.849817,0.23312,0.129768,4.012036,0.066315
122,163,152,902,7198,0.111358,0.51746,0.153052,0.51746,0.846948,0.236232,0.12656,4.088665,0.066667
123,163,152,901,7199,0.111235,0.51746,0.153195,0.51746,0.846805,0.236403,0.126441,4.092508,0.068421
124,158,157,835,7265,0.103086,0.501587,0.159114,0.501587,0.840886,0.24159,0.118004,4.250611,0.069204
125,154,161,776,7324,0.095802,0.488889,0.165591,0.488889,0.834409,0.24739,0.110517,4.423656,0.069808
126,150,165,712,7388,0.087901,0.47619,0.174014,0.47619,0.825986,0.254885,0.102436,4.648658,0.070053
127,146,169,646,7454,0.079753,0.463492,0.184343,0.463492,0.815657,0.263776,0.094118,4.924603,0.070934
128,143,172,586,7514,0.072346,0.453968,0.196159,0.453968,0.803841,0.273946,0.086631,5.240251,0.071057
129,140,175,525,7575,0.064815,0.444444,0.210526,0.444444,0.789474,0.285714,0.079026,5.62406,0.071186
130,138,177,476,7624,0.058765,0.438095,0.224756,0.438095,0.775244,0.297094,0.072965,6.004188,0.071553
131,135,180,411,7689,0.050741,0.428571,0.247253,0.428571,0.752747,0.313589,0.064884,6.605181,0.078431
132,128,187,390,7710,0.048148,0.406349,0.247104,0.406349,0.752896,0.307323,0.061557,6.601213,0.080002
133,127,188,390,7710,0.048148,0.403175,0.245648,0.403175,0.754352,0.305288,0.061438,6.56231,0.083333
134,127,188,386,7714,0.047654,0.403175,0.247563,0.403175,0.752437,0.306763,0.060963,6.613478,0.084511
135,126,189,386,7714,0.047654,0.4,0.246094,0.4,0.753906,0.304716,0.060844,6.574219,0.087372
136,126,189,385,7715,0.047531,0.4,0.246575,0.4,0.753425,0.305085,0.060725,6.587084,0.088803
137,122,193,365,7735,0.045062,0.387302,0.250513,0.387302,0.749487,0.304239,0.057873,6.692285,0.089147
138,118,197,344,7756,0.042469,0.374603,0.255411,0.374603,0.744589,0.303732,0.054902,6.823129,0.090909
139,118,197,340,7760,0.041975,0.374603,0.257642,0.374603,0.742358,0.305304,0.054427,6.88272,0.094862
140,115,200,313,7787,0.038642,0.365079,0.268692,0.365079,0.731308,0.309556,0.050862,7.177904,0.09542
141,113,202,294,7806,0.036296,0.35873,0.277641,0.35873,0.722359,0.313019,0.048366,7.416988,0.096
142,110,205,264,7836,0.032593,0.349206,0.294118,0.349206,0.705882,0.319303,0.044444,7.857143,0.098176
143,109,206,261,7839,0.032222,0.346032,0.294595,0.346032,0.705405,0.318248,0.043969,7.869884,0.1
144,109,206,257,7843,0.031728,0.346032,0.297814,0.346032,0.702186,0.320117,0.043494,7.955894,0.100806
145,107,208,224,7876,0.027654,0.339683,0.323263,0.339683,0.676737,0.331269,0.039335,8.635736,0.101504
146,107,208,207,7893,0.025556,0.339683,0.340764,0.339683,0.659236,0.340223,0.037314,9.103276,0.104
147,106,209,175,7925,0.021605,0.336508,0.377224,0.336508,0.622776,0.355705,0.033393,10.077275,0.105691
148,105,210,139,7961,0.01716,0.333333,0.430328,0.333333,0.569672,0.375671,0.028996,11.495902,0.111111
149,105,210,137,7963,0.016914,0.333333,0.433884,0.333333,0.566116,0.37702,0.028758,11.590909,0.122737
150,105,210,136,7964,0.01679,0.333333,0.435685,0.333333,0.564315,0.377698,0.028639,11.639004,0.125
151,103,212,133,7967,0.01642,0.326984,0.436441,0.326984,0.563559,0.373866,0.028045,11.659201,0.142857
152,103,212,129,7971,0.015926,0.326984,0.443966,0.326984,0.556034,0.3766,0.02757,11.860222,0.151216
153,103,212,128,7972,0.015802,0.326984,0.445887,0.326984,0.554113,0.377289,0.027451,11.911565,0.165919
154,101,214,127,7973,0.015679,0.320635,0.442982,0.320635,0.557018,0.372007,0.027094,11.83396,0.166667
155,99,216,125,7975,0.015432,0.314286,0.441964,0.314286,0.558036,0.367347,0.026619,11.80676,0.168889
156,95,220,121,7979,0.014938,0.301587,0.439815,0.301587,0.560185,0.357815,0.025668,11.749339,0.169492
157,95,220,119,7981,0.014691,0.301587,0.443925,0.301587,0.556075,0.359168,0.025431,11.859146,0.176471
158,93,222,114,7986,0.014074,0.295238,0.449275,0.295238,0.550725,0.356322,0.024599,12.00207,0.177273
159,92,223,110,7990,0.01358,0.292063,0.455446,0.292063,0.544554,0.355899,0.024005,12.166902,0.177273
160,91,224,110,7990,0.01358,0.288889,0.452736,0.288889,0.547264,0.352713,0.023886,12.094527,0.179487
161,89,226,107,7993,0.01321,0.28254,0.454082,0.28254,0.545918,0.348337,0.023292,12.130466,0.180617
162,87,228,98,8002,0.012099,0.27619,0.47027,0.27619,0.52973,0.348,0.021985,12.562934,0.186667
163,87,228,94,8006,0.011605,0.27619,0.480663,0.27619,0.519337,0.350806,0.021509,12.840568,0.2
164,85,230,90,8010,0.011111,0.269841,0.485714,0.269841,0.514286,0.346939,0.020796,12.97551,0.203524
165,85,230,89,8011,0.010988,0.269841,0.488506,0.269841,0.511494,0.347648,0.020677,13.050082,0.205882
166,83,232,86,8014,0.010617,0.263492,0.491124,0.263492,0.508876,0.342975,0.020083,13.120034,0.210526
167,83,232,85,8015,0.010494,0.263492,0.494048,0.263492,0.505952,0.343685,0.019964,13.198129,0.216216
168,82,233,84,8016,0.01037,0.260317,0.493976,0.260317,0.506024,0.340956,0.019727,13.196213,0.21875
169,80,235,79,8021,0.009753,0.253968,0.503145,0.253968,0.496855,0.337553,0.018895,13.44115,0.222222
170,80,235,75,8025,0.009259,0.253968,0.516129,0.253968,0.483871,0.340426,0.018419,13.788018,0.228571
171,79,236,72,8028,0.008889,0.250794,0.523179,0.250794,0.476821,0.339056,0.017944,13.976348,0.236842
172,79,236,71,8029,0.008765,0.250794,0.526667,0.250794,0.473333,0.339785,0.017825,14.069524,0.243243
173,79,236,69,8031,0.008519,0.250794,0.533784,0.250794,0.466216,0.341253,0.017588,14.259653,0.25
174,78,237,56,8044,0.006914,0.247619,0.58209,0.247619,0.41791,0.347439,0.015924,15.550107,0.257143
175,78,237,52,8048,0.00642,0.247619,0.6,0.247619,0.4,0.350562,0.015449,16.028571,0.266667
176,78,237,47,8053,0.005802,0.247619,0.624,0.247619,0.376,0.354545,0.014854,16.669714,0.3
177,77,238,47,8053,0.005802,0.244444,0.620968,0.244444,0.379032,0.350797,0.014736,16.58871,0.326923
