@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
52,385,3,6342,1685,0.790083,0.992268,0.057232,0.992268,0.942768,0.108222,0.799406,1.241257,0.000008
53,385,3,6341,1686,0.789959,0.992268,0.057241,0.992268,0.942759,0.108237,0.799287,1.241442,0.000008
54,385,3,6339,1688,0.78971,0.992268,0.057258,0.992268,0.942742,0.108268,0.799049,1.241811,0.000008
55,385,3,6338,1689,0.789585,0.992268,0.057266,0.992268,0.942734,0.108283,0.79893,1.241995,0.000008
56,385,3,6337,1690,0.789461,0.992268,0.057275,0.992268,0.942725,0.108298,0.798812,1.24218,0.000008
57,385,3,6336,1691,0.789336,0.992268,0.057283,0.992268,0.942717,0.108313,0.798693,1.242365,0.000008
58,385,3,6335,1692,0.789211,0.992268,0.057292,0.992268,0.942708,0.108329,0.798574,1.24255,0.000008
59,385,3,6334,1693,0.789087,0.992268,0.0573,0.992268,0.9427,0.108344,0.798455,1.242735,0.000009
60,385,3,6333,1694,0.788962,0.992268,0.057309,0.992268,0.942691,0.108359,0.798336,1.24292,0.000009
61,385,3,6332,1695,0.788838,0.992268,0.057317,0.992268,0.942683,0.108374,0.798217,1.243105,0.000009
62,385,3,6331,1696,0.788713,0.992268,0.057326,0.992268,0.942674,0.10839,0.798099,1.24329,0.000009
63,385,3,6330,1697,0.788589,0.992268,0.057334,0.992268,0.942666,0.108405,0.79798,1.243475,0.000009
64,385,3,6329,1698,0.788464,0.992268,0.057343,0.992268,0.942657,0.10842,0.797861,1.24366,0.000009
65,385,3,6328,1699,0.788339,0.992268,0.057351,0.992268,0.942649,0.108435,0.797742,1.243846,0.000009
66,385,3,6327,1700,0.788215,0.992268,0.05736,0.992268,0.94264,0.108451,0.797623,1.244031,0.000009
67,385,3,6325,1702,0.787966,0.992268,0.057377,0.992268,0.942623,0.108481,0.797386,1.244402,0.000009
68,385,3,6323,1704,0.787716,0.992268,0.057394,0.992268,0.942606,0.108512,0.797148,1.244773,0.000009
69,385,3,6322,1705,0.787592,0.992268,0.057403,0.992268,0.942597,0.108527,0.797029,1.244958,0.000009
70,385,3,6321,1706,0.787467,0.992268,0.057411,0.992268,0.942589,0.108542,0.79691,1.245144,0.000011
71,385,3,6319,1708,0.787218,0.992268,0.057428,0.992268,0.942572,0.108573,0.796673,1.245515,0.000011
72,385,3,6318,1709,0.787094,0.992268,0.057437,0.992268,0.942563,0.108588,0.796554,1.245701,0.000011
73,385,3,6315,1712,0.78672,0.992268,0.057463,0.992268,0.942537,0.108634,0.796197,1.246259,0.000011
74,385,3,6314,1713,0.786595,0.992268,0.057471,0.992268,0.942529,0.10865,0.796078,1.246445,0.000011
75,385,3,6313,1714,0.786471,0.992268,0.05748,0.992268,0.94252,0.108665,0.79596,1.246631,0.000011
76,385,3,6312,1715,0.786346,0.992268,0.057488,0.992268,0.942512,0.10868,0.795841,1.246817,0.000011
