@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
46,4404,9,788,123,0.864984,0.997961,0.848228,0.997961,0.151772,0.917022,0.975207,1.023332,0.033899
47,4404,9,787,124,0.863886,0.997961,0.848391,0.997961,0.151609,0.917118,0.975019,1.02353,0.034597
48,4404,9,786,125,0.862788,0.997961,0.848555,0.997961,0.151445,0.917213,0.974831,1.023727,0.036735
49,4404,9,784,127,0.860593,0.997961,0.848882,0.997961,0.151118,0.917404,0.974455,1.024121,0.038208
50,4404,9,783,128,0.859495,0.997961,0.849046,0.997961,0.150954,0.9175,0.974267,1.024319,0.039725
51,4404,9,781,130,0.8573,0.997961,0.849373,0.997961,0.150627,0.917691,0.973892,1.024714,0.039803
52,4404,9,780,131,0.856202,0.997961,0.849537,0.997961,0.150463,0.917787,0.973704,1.024912,0.039867
53,4403,10,780,131,0.856202,0.997734,0.849508,0.997734,0.150492,0.917674,0.973516,1.024877,0.040892
54,4403,10,778,133,0.854007,0.997734,0.849836,0.997734,0.150164,0.917865,0.97314,1.025272,0.0415
55,4403,10,777,134,0.852909,0.997734,0.85,0.997734,0.15,0.917961,0.972953,1.02547,0.04285
56,4403,10,776,135,0.851811,0.997734,0.850164,0.997734,0.149836,0.918057,0.972765,1.025668,0.043785
57,4403,10,773,138,0.848518,0.997734,0.850657,0.997734,0.149343,0.918344,0.972201,1.026263,0.045212
58,4403,10,772,139,0.84742,0.997734,0.850821,0.997734,0.149179,0.91844,0.972014,1.026461,0.04627
59,4402,11,772,139,0.84742,0.997507,0.850792,0.997507,0.149208,0.918327,0.971826,1.026426,0.0475
60,4402,11,770,141,0.845225,0.997507,0.851121,0.997507,0.148879,0.918519,0.97145,1.026823,0.04824
61,4402,11,769,142,0.844127,0.997507,0.851286,0.997507,0.148714,0.918614,0.971262,1.027022,0.050022
62,4402,11,768,143,0.84303,0.997507,0.851451,0.997507,0.148549,0.91871,0.971074,1.02722,0.051683
63,4402,11,766,145,0.840834,0.997507,0.85178,0.997507,0.14822,0.918902,0.970699,1.027618,0.053758
64,4402,11,764,147,0.838639,0.997507,0.85211,0.997507,0.14789,0.919094,0.970323,1.028016,0.054325
65,4402,11,762,149,0.836443,0.997507,0.85244,0.997507,0.14756,0.919286,0.969947,1.028414,0.055226
66,4402,11,760,151,0.834248,0.997507,0.85277,0.997507,0.14723,0.919478,0.969572,1.028812,0.056625
67,4402,11,759,152,0.83315,0.997507,0.852935,0.997507,0.147065,0.919574,0.969384,1.029012,0.056677
68,4402,11,758,153,0.832053,0.997507,0.853101,0.997507,0.146899,0.91967,0.969196,1.029211,0.057805
69,4402,11,756,155,0.829857,0.997507,0.853432,0.997507,0.146568,0.919862,0.96882,1.02961,0.060159
70,4402,11,753,158,0.826564,0.997507,0.853928,0.997507,0.146072,0.920151,0.968257,1.030209,0.061926
71,4402,11,752,159,0.825467,0.997507,0.854094,0.997507,0.145906,0.920247,0.968069,1.030409,0.062733
72,4402,11,748,163,0.821076,0.997507,0.854757,0.997507,0.145243,0.920632,0.967318,1.03121,0.06352
73,4402,11,744,167,0.816685,0.997507,0.855422,0.997507,0.144578,0.921017,0.966566,1.032011,0.066552
74,4402,11,743,168,0.815587,0.997507,0.855588,0.997507,0.144412,0.921113,0.966379,1.032212,0.072542
75,4402,11,740,171,0.812294,0.997507,0.856087,0.997507,0.143913,0.921402,0.965815,1.032814,0.073171
76,4402,11,739,172,0.811196,0.997507,0.856254,0.997507,0.143746,0.921499,0.965627,1.033015,0.074694
77,4402,11,737,174,0.809001,0.997507,0.856587,0.997507,0.143413,0.921692,0.965252,1.033417,0.076482
78,4402,11,735,176,0.806806,0.997507,0.85692,0.997507,0.14308,0.921885,0.964876,1.033819,0.079406
79,4402,11,733,178,0.80461,0.997507,0.857254,0.997507,0.142746,0.922078,0.9645,1.034222,0.0804
80,4402,11,732,179,0.803513,0.997507,0.857421,0.997507,0.142579,0.922175,0.964313,1.034423,0.081391
81,4402,11,731,180,0.802415,0.997507,0.857588,0.997507,0.142412,0.922271,0.964125,1.034625,0.081535
82,4402,11,730,181,0.801317,0.997507,0.857755,0.997507,0.142245,0.922368,0.963937,1.034826,0.082296
83,4401,12,730,181,0.801317,0.997281,0.857728,0.997281,0.142272,0.922255,0.963749,1.034793,0.084438
84,4401,12,727,184,0.798024,0.997281,0.858229,0.997281,0.141771,0.922545,0.963186,1.035398,0.094148
85,4401,12,724,187,0.794731,0.997281,0.858732,0.997281,0.141268,0.922835,0.962622,1.036004,0.096378
86,4401,12,723,188,0.793633,0.997281,0.858899,0.997281,0.141101,0.922932,0.962434,1.036207,0.096594
87,4401,12,722,189,0.792536,0.997281,0.859067,0.997281,0.140933,0.923029,0.962246,1.036409,0.097896
88,4401,12,721,190,0.791438,0.997281,0.859235,0.997281,0.140765,0.923125,0.962059,1.036611,0.097918
89,4401,12,720,191,0.79034,0.997281,0.859402,0.997281,0.140598,0.923222,0.961871,1.036814,0.101067
90,4401,12,719,192,0.789243,0.997281,0.85957,0.997281,0.14043,0.923319,0.961683,1.037016,0.102348
91,4401,12,718,193,0.788145,0.997281,0.859738,0.997281,0.140262,0.923416,0.961495,1.037219,0.108497
